"","player_name","overall_rating","gk_rating","Number_of_appearances","Number_of_Leagues"
"655","Andre Silva",70,53,4,1
"656","Andre Simoes",70,53,32,1
"657","Andre Sousa",71,45,24,1
"658","Andre Vilas Boas",69,57,87,1
"659","Andre Wisdom",71,53,44,1
"660","Andre-Pierre Gignac",82,155,188,1
"661","Andrea Ardito",71,141,7,1
"662","Andrea Barzagli",85,53,222,2
"663","Andrea Belotti",75,53,40,1
"664","Andrea Bertolacci",77,38,119,1
"665","Andrea Campagnolo",73,366,31,1
"666","Andrea Caracciolo",75,55,54,1
"667","Andrea Catellani",72,58,4,1
"668","Andrea Coda",77,139,109,1
"669","Andrea Consigli",80,398,222,1
"670","Andrea Conti",67,54,10,1
